token_id,1/1,4:20 watch,background,beard,chain,eyes,hat over headphones,hat under headphones,headphones,long hair,mouth,shirt,short hair,smoke,type
1,0,sub red,red,0,0,nerd glasses,0,bandana dark gray,white headphones,0,smile,collared shirt blue,0,0,charcoal mfer
2,0,sub bat (blue/black),orange,0,0,regular eyes,0,headband green/white,pink headphones,long hair black,smile,0,0,cig black,charcoal mfer
3,0,sub red,graveyard,full beard,0,zombie eyes,0,beanie,white headphones,0,smile,0,0,cig black,zombie mfer
4,0,sub lantern (green),green,0,0,regular eyes,0,0,white headphones,0,smile,0,mohawk blue,cig white,plain mfer
5,0,0,orange,0,0,shades,0,bandana dark gray,pink headphones,long hair black,smile,0,0,cig white,plain mfer
6,0,argo black,orange,0,0,vr,0,0,black headphones,0,smile,hoodie down gray,messy red,cig white,plain mfer
7,0,oyster silver,yellow,0,0,regular eyes,0,0,white headphones,0,smile,0,mohawk pink,cig black,charcoal mfer
8,0,sub lantern (green),orange,0,0,regular eyes,0,0,pink headphones,long hair black,smile,0,0,cig black,plain mfer
9,0,sub black,orange,0,0,regular eyes,0,0,black headphones,0,smile,collared shirt white,mohawk green,cig white,charcoal mfer
10,0,oyster silver,red,full beard,0,regular eyes,0,0,white headphones,0,smile,hoodie down gray,0,0,plain mfer
11,0,sub black,orange,full beard,0,nerd glasses,cowboy hat,0,black headphones,0,smile,hoodie down gray,0,cig white,charcoal mfer
12,0,0,red,0,0,regular eyes,0,knit dallas,pink headphones,0,smile,0,0,0,charcoal mfer
13,0,sub lantern (green),blue,0,0,regular eyes,0,headband blue/white,black headphones,long hair yellow,smile,hoodie down gray,0,0,charcoal mfer
14,0,sub red,orange,0,0,nerd glasses,0,0,white headphones,0,smile,collared shirt blue,0,0,plain mfer
15,0,sub blue,orange,full beard,0,regular eyes,0,0,black headphones,0,smile,0,0,cig white,plain mfer
16,0,sub red,yellow,0,0,shades,0,bandana red,black headphones,0,smile,0,0,cig black,charcoal mfer
