token_id,1of1_rarity,watch_rarity,background_rarity,beard_rarity,chain_rarity,eyes_rarity,hat_over_headphones_rarity,hat_under_headphones_rarity,headphones_rarity,long_hair_rarity,mouth_rarity,shirt_rarity,short_hair_rarity,smoke_rarity,type_rarity
1,0.0,0.1459,0.1846,0.0,0.0,0.0613,0.0,0.0319,0.2421,0.0,0.7936,0.0565,0.0,0.0,0.3958
2,0.0,0.01,0.2023,0.0,0.0,0.7254,0.0,0.02,0.104,0.1839,0.7936,0.0,0.0,0.381,0.3958
3,0.0,0.1459,0.0089,0.1036,0.0,0.0089,0.0,0.0041,0.2421,0.0,0.7936,0.0,0.0,0.381,0.0089
4,0.0,0.0555,0.1974,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0224,0.3735,0.5916
5,0.0,0.0,0.2023,0.0,0.0,0.0526,0.0,0.0319,0.104,0.1839,0.7936,0.0,0.0,0.3735,0.5916
6,0.0,0.0325,0.2023,0.0,0.0,0.0342,0.0,0.0,0.3949,0.0,0.7936,0.0611,0.0199,0.3735,0.5916
7,0.0,0.1006,0.1956,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0074,0.381,0.3958
8,0.0,0.0555,0.2023,0.0,0.0,0.7254,0.0,0.0,0.104,0.1839,0.7936,0.0,0.0,0.381,0.5916
9,0.0,0.1954,0.2023,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0675,0.0221,0.3735,0.3958
10,0.0,0.1006,0.1846,0.1036,0.0,0.7254,0.0,0.0,0.2421,0.0,0.7936,0.0611,0.0,0.0,0.5916
11,0.0,0.1954,0.2023,0.1036,0.0,0.0613,0.0146,0.0,0.3949,0.0,0.7936,0.0611,0.0,0.3735,0.3958
12,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0097,0.104,0.0,0.7936,0.0,0.0,0.0,0.3958
13,0.0,0.0555,0.2075,0.0,0.0,0.7254,0.0,0.0208,0.3949,0.0752,0.7936,0.0611,0.0,0.0,0.3958
14,0.0,0.1459,0.2023,0.0,0.0,0.0613,0.0,0.0,0.2421,0.0,0.7936,0.0565,0.0,0.0,0.5916
